Date,Open,High,Low,Close,Adj Close,Volume,Prediksi,
6/30/2021,1215,1225,1190,1205,1072.057007,76460900,1210,244
7/1/2021,1220,1240,1195,1205,1072.057007,53853700,1210,
7/2/2021,1220,1270,1205,1260,1120.989014,115326200,1265,
7/5/2021,1265,1265,1230,1235,1098.747192,50259700,1240,
7/6/2021,1260,1300,1255,1290,1147.679321,83567200,1295,
7/7/2021,1275,1275,1230,1250,1112.092285,72700000,1255,
7/8/2021,1250,1250,1210,1220,1085.4021,50605000,1225,
7/9/2021,1230,1255,1215,1250,1112.092285,46284000,1255,
7/12/2021,1270,1270,1235,1235,1098.747192,43425000,1240,
7/13/2021,1240,1245,1220,1230,1094.298706,30860600,1235,
7/14/2021,1230,1255,1215,1220,1085.4021,57171600,1225,
7/15/2021,1215,1240,1215,1225,1089.850464,45141600,1230,
7/16/2021,1240,1260,1225,1240,1103.195557,44257000,1245,
7/19/2021,1250,1265,1240,1250,1112.092285,47573900,1255,
7/21/2021,1260,1260,1235,1240,1103.195557,50329700,1245,
7/22/2021,1250,1340,1240,1335,1187.7146,178204200,1340,
7/23/2021,1335,1335,1295,1305,1161.024292,69244900,1310,
7/26/2021,1300,1310,1275,1280,1138.782593,55386900,1285,
7/27/2021,1290,1305,1260,1275,1134.334106,31381500,1280,
7/28/2021,1280,1285,1255,1270,1129.885742,46422700,1275,
7/29/2021,1285,1345,1275,1325,1178.817749,103637900,1330,
7/30/2021,1325,1365,1295,1335,1187.7146,116435600,1340,
8/2/2021,1345,1390,1340,1370,1218.853149,86145100,1375,
8/3/2021,1370,1370,1345,1350,1201.059692,61492100,1355,
8/4/2021,1350,1365,1345,1360,1209.956421,30115900,1365,
8/5/2021,1360,1370,1300,1300,1156.57605,99527400,1305,
8/6/2021,1310,1325,1285,1290,1147.679321,41862500,1295,
8/9/2021,1305,1340,1290,1300,1156.57605,56861800,1305,
8/10/2021,1320,1350,1300,1340,1192.162964,82237200,1345,
8/12/2021,1350,1415,1345,1410,1254.440063,185580600,1415,
8/13/2021,1420,1430,1370,1385,1232.198242,71600800,1390,
8/16/2021,1385,1400,1355,1365,1214.404785,47327100,1370,
8/18/2021,1360,1375,1325,1340,1192.162964,68965200,1345,
8/19/2021,1340,1355,1295,1295,1152.127686,61887100,1300,
8/20/2021,1290,1305,1260,1265,1125.437378,88174800,1270,
8/23/2021,1265,1320,1265,1315,1169.921021,61341500,1320,
8/24/2021,1340,1340,1250,1260,1120.989014,127792400,1265,
8/25/2021,1270,1280,1255,1255,1116.540649,65065500,1260,
8/26/2021,1270,1290,1250,1280,1138.782593,62480500,1285,
